user_id,business_id,stars,date
vI4vyi1dfG93oAiSRFDymA,LosAgaves_SB_01,5.0,2021-05-12
vI4vyi1dfG93oAiSRFDymA,PalaceGrill_SB_03,5.0,2021-06-18
vI4vyi1dfG93oAiSRFDymA,NDwoKO79_T49UEKVDlHd3A,5.0,2021-07-02
vI4vyi1dfG93oAiSRFDymA,LillysTacos_SB_05,4.5,2021-08-10
vI4vyi1dfG93oAiSRFDymA,bBDDEgkFA1Otx9Lfe7BZUQ,1.0,2021-09-01
mh_-eMZ6K5RLWhZyISBhwA,LosAgaves_SB_01,5.0,2020-01-15
mh_-eMZ6K5RLWhZyISBhwA,MesaVerde_SB_02,4.0,2020-02-20
mh_-eMZ6K5RLWhZyISBhwA,TomaRestaurant_SB_07,4.5,2020-03-11
mh_-eMZ6K5RLWhZyISBhwA,QNilrbTi8912ye2ztnBMpA,5.0,2020-04-05
Iaee7y6zdSB3B-kRCo4z1w,LureFishHouse_SB_04,4.5,2019-11-01
Iaee7y6zdSB3B-kRCo4z1w,TunaBar_PHL_02,5.0,2019-11-20
Iaee7y6zdSB3B-kRCo4z1w,OSushi_PHL_03,4.0,2019-12-05
ejFxLGqQcWNLdNByJlIhnQ,MTSW4McQd7CbVtyjqoe9mw,4.0,2022-01-10
ejFxLGqQcWNLdNByJlIhnQ,PhoStreet_PHL_01,4.0,2022-02-14
ejFxLGqQcWNLdNByJlIhnQ,YnGlopjmCYM6Pw07qt9bfw,4.5,2022-03-01
qVc8ODYU5SZjKXVBgXdI7w,B2Tuf5M1wQhdwAKnD-w7Yw,5.0,2022-04-12
qVc8ODYU5SZjKXVBgXdI7w,TDEV16C4GhK5wyhL-5V7ww,5.0,2022-05-19
qVc8ODYU5SZjKXVBgXdI7w,ez4kMLP6OJEIaMbMrrGRdA,4.5,2022-06-25
qVc8ODYU5SZjKXVBgXdI7w,PalaceGrill_SB_03,4.0,2022-07-30
